location,total_sqft,bed,bath,price,price_per_sqft
7th Phase JP Nagar,1463.0,3.0,2.0,61.45,4200.273410799727
7th Phase JP Nagar,1680.0,3.0,3.0,122.0,7261.9047619047615
7th Phase JP Nagar,1130.0,2.0,2.0,85.0,7522.123893805309
7th Phase JP Nagar,1680.0,3.0,3.0,130.0,7738.0952380952385
7th Phase JP Nagar,980.0,2.0,2.0,77.44,7902.040816326531
7th Phase JP Nagar,1680.0,3.0,3.0,112.0,6666.666666666667
7th Phase JP Nagar,1515.0,3.0,2.0,76.0,5016.501650165016
7th Phase JP Nagar,2095.0,3.0,3.0,150.0,7159.904534606205
7th Phase JP Nagar,1976.0,3.0,3.0,145.0,7338.056680161943
7th Phase JP Nagar,1600.0,3.0,2.0,110.0,6875.0
7th Phase JP Nagar,1765.0,3.0,3.0,118.0,6685.552407932011
7th Phase JP Nagar,1275.0,3.0,2.0,88.0,6901.9607843137255
7th Phase JP Nagar,1450.0,3.0,2.0,102.0,7034.482758620689
7th Phase JP Nagar,1575.0,3.0,2.0,110.0,6984.126984126984
7th Phase JP Nagar,1075.0,3.0,2.0,57.0,5302.325581395349
7th Phase JP Nagar,750.0,1.0,1.0,47.0,6266.666666666667
7th Phase JP Nagar,990.0,2.0,2.0,50.0,5050.50505050505
7th Phase JP Nagar,1000.0,1.0,1.0,60.0,6000.0
7th Phase JP Nagar,1680.0,3.0,2.0,92.0,5476.190476190476
7th Phase JP Nagar,1430.0,3.0,2.0,102.0,7132.867132867133
7th Phase JP Nagar,1128.0,2.0,2.0,60.0,5319.148936170212
7th Phase JP Nagar,1140.0,2.0,2.0,57.0,5000.0
7th Phase JP Nagar,1420.0,3.0,3.0,90.0,6338.028169014085
7th Phase JP Nagar,1530.0,2.0,2.0,108.0,7058.823529411765
8th Phase JP Nagar,1073.5,2.0,2.0,54.005,5030.740568234746
8th Phase JP Nagar,451.0,1.0,1.0,29.9,6629.711751662971
8th Phase JP Nagar,1240.0,3.0,3.0,43.5,3508.064516129032
8th Phase JP Nagar,1062.0,2.0,2.0,42.47,3999.0583804143125
8th Phase JP Nagar,1230.0,3.0,2.0,43.5,3536.5853658536585
8th Phase JP Nagar,1455.0,3.0,3.0,73.31,5038.487972508591
8th Phase JP Nagar,871.0,2.0,2.0,55.0,6314.580941446613
8th Phase JP Nagar,1098.0,2.0,2.0,43.91,3999.089253187614
8th Phase JP Nagar,1800.0,3.0,3.0,80.0,4444.444444444444
8th Phase JP Nagar,2700.0,4.0,4.0,130.0,4814.814814814815
8th Phase JP Nagar,1080.0,2.0,2.0,38.0,3518.5185185185187
8th Phase JP Nagar,1059.0,2.0,2.0,34.5,3257.790368271955
8th Phase JP Nagar,1080.0,2.0,2.0,35.0,3240.740740740741
8th Phase JP Nagar,1275.0,3.0,2.0,41.5,3254.901960784314
8th Phase JP Nagar,1062.0,2.0,2.0,42.47,3999.0583804143125
8th Phase JP Nagar,500.0,1.0,1.0,31.0,6200.0
8th Phase JP Nagar,1100.0,2.0,2.0,35.0,3181.818181818182
8th Phase JP Nagar,2100.0,4.0,4.0,92.0,4380.952380952381
8th Phase JP Nagar,1035.0,2.0,2.0,39.33,3800.0
8th Phase JP Nagar,909.0,2.0,2.0,40.9,4499.4499449945
8th Phase JP Nagar,1431.5,3.0,3.0,72.02,5031.086273140063
8th Phase JP Nagar,1900.0,3.0,4.0,90.0,4736.8421052631575
8th Phase JP Nagar,500.0,1.0,1.0,30.0,6000.0
8th Phase JP Nagar,1125.0,2.0,2.0,36.94,3283.5555555555557
8th Phase JP Nagar,1100.0,2.0,2.0,35.0,3181.818181818182
8th Phase JP Nagar,1089.0,2.0,2.0,43.55,3999.0817263544536
8th Phase JP Nagar,1605.0,3.0,2.0,65.0,4049.8442367601247
8th Phase JP Nagar,1504.0,3.0,2.0,83.0,5518.617021276596
8th Phase JP Nagar,2600.0,4.0,4.0,115.0,4423.076923076923
8th Phase JP Nagar,1368.0,3.0,2.0,54.71,3999.2690058479534
8th Phase JP Nagar,1089.0,2.0,2.0,43.55,3999.0817263544536
8th Phase JP Nagar,1224.0,3.0,2.0,48.95,3999.1830065359477
8th Phase JP Nagar,1513.0,2.0,2.0,62.0,4097.818902842036
8th Phase JP Nagar,1298.0,2.0,2.0,59.0,4545.454545454545
8th Phase JP Nagar,1006.0,2.0,2.0,44.0,4373.75745526839
8th Phase JP Nagar,500.0,1.0,1.0,33.0,6600.0
8th Phase JP Nagar,1160.0,2.0,2.0,95.0,8189.6551724137935
8th Phase JP Nagar,1245.0,2.0,2.0,59.0,4738.955823293173
8th Phase JP Nagar,1510.0,2.0,2.0,80.0,5298.013245033113
8th Phase JP Nagar,3300.0,3.0,3.0,165.0,5000.0
8th Phase JP Nagar,1730.0,5.0,5.0,75.0,4335.260115606937
8th Phase JP Nagar,1296.0,3.0,2.0,51.83,3999.2283950617284
8th Phase JP Nagar,1275.0,3.0,3.0,45.0,3529.4117647058824
8th Phase JP Nagar,1046.0,2.0,2.0,48.0,4588.910133843212
8th Phase JP Nagar,1269.0,3.0,2.0,50.75,3999.211977935382
8th Phase JP Nagar,1408.0,3.0,3.0,80.0,5681.818181818182
8th Phase JP Nagar,1500.0,3.0,2.0,55.0,3666.6666666666665
9th Phase JP Nagar,1005.0,2.0,2.0,50.0,4975.124378109453
9th Phase JP Nagar,1890.0,3.0,2.0,85.0,4497.354497354498
9th Phase JP Nagar,1100.0,2.0,2.0,65.0,5909.090909090909
9th Phase JP Nagar,1080.0,2.0,2.0,37.0,3425.925925925926
9th Phase JP Nagar,1035.0,2.0,2.0,45.0,4347.826086956522
9th Phase JP Nagar,5000.0,4.0,4.0,290.0,5800.0
9th Phase JP Nagar,1164.0,2.0,2.0,56.0,4810.996563573884
9th Phase JP Nagar,1005.0,2.0,2.0,42.0,4179.104477611941
9th Phase JP Nagar,1127.0,2.0,2.0,50.0,4436.557231588287
9th Phase JP Nagar,1005.0,2.0,2.0,43.0,4278.606965174129
9th Phase JP Nagar,835.0,2.0,2.0,37.0,4431.137724550898
9th Phase JP Nagar,1050.0,2.0,2.0,39.0,3714.285714285714
9th Phase JP Nagar,660.0,2.0,2.0,27.0,4090.909090909091
9th Phase JP Nagar,600.0,1.0,1.0,20.0,3333.3333333333335
9th Phase JP Nagar,1466.0,2.0,2.0,71.0,4843.110504774898
9th Phase JP Nagar,1890.0,3.0,2.0,93.0,4920.6349206349205
9th Phase JP Nagar,1079.0,2.0,2.0,60.0,5560.704355885079
9th Phase JP Nagar,1480.0,2.0,2.0,80.0,5405.405405405405
9th Phase JP Nagar,1200.0,2.0,2.0,80.0,6666.666666666667
9th Phase JP Nagar,905.0,2.0,2.0,32.0,3535.9116022099447
9th Phase JP Nagar,1073.0,2.0,2.0,52.36,4879.77632805219
9th Phase JP Nagar,1719.3,3.0,2.0,88.0,5118.362124120282
9th Phase JP Nagar,1780.0,3.0,3.0,88.0,4943.820224719101
9th Phase JP Nagar,1300.0,3.0,2.0,58.0,4461.538461538462
9th Phase JP Nagar,1522.0,3.0,3.0,90.0,5913.272010512484
9th Phase JP Nagar,1571.0,3.0,3.0,65.0,4137.492043284532
9th Phase JP Nagar,1900.0,4.0,4.0,80.0,4210.526315789473
9th Phase JP Nagar,890.0,2.0,2.0,45.0,5056.179775280899
9th Phase JP Nagar,1240.0,3.0,2.0,39.89,3216.935483870968
9th Phase JP Nagar,5000.0,4.0,4.0,300.0,6000.0
9th Phase JP Nagar,1240.0,3.0,2.0,42.85,3455.6451612903224
9th Phase JP Nagar,1050.0,2.0,2.0,35.0,3333.3333333333335
9th Phase JP Nagar,1331.95,2.0,2.0,69.0,5180.374638687638
AECS Layout,1100.0,2.0,2.0,45.0,4090.909090909091
AECS Layout,1028.0,2.0,2.0,42.0,4085.603112840467
AECS Layout,1199.0,2.0,2.0,65.0,5421.184320266889
AECS Layout,1080.0,2.0,2.0,55.0,5092.592592592592
AECS Layout,1123.0,2.0,2.0,64.0,5699.020480854853
AECS Layout,1308.0,2.0,2.0,60.0,4587.155963302752
AECS Layout,1005.0,2.0,2.0,55.0,5472.636815920398
AECS Layout,2000.0,3.0,3.0,90.0,4500.0
Abbigere,985.0,2.0,2.0,40.39,4100.507614213198
Abbigere,2200.0,6.0,6.0,68.0,3090.909090909091
Abbigere,765.0,1.0,2.0,30.0,3921.5686274509803
Abbigere,880.0,2.0,2.0,35.0,3977.2727272727275
Abbigere,795.0,2.0,2.0,32.54,4093.0817610062895
Abbigere,1005.0,2.0,2.0,39.59,3939.303482587065
Abbigere,734.0,1.0,1.0,19.82,2700.272479564033
Abbigere,1260.0,3.0,2.0,45.0,3571.4285714285716
Abbigere,1020.0,2.0,2.0,41.82,4100.0
Abbigere,985.0,2.0,2.0,40.39,4100.507614213198
Abbigere,2500.0,6.0,6.0,81.0,3240.0
Abbigere,795.0,2.0,2.0,32.54,4093.0817610062895
Abbigere,1130.0,2.0,2.0,46.33,4100.0
Abbigere,795.0,2.0,1.0,32.6,4100.62893081761
Abbigere,3000.0,8.0,8.0,150.0,5000.0
Abbigere,985.0,2.0,2.0,38.92,3951.269035532995
Abbigere,1000.0,2.0,2.0,41.0,4100.0
Abbigere,995.0,2.0,2.0,40.8,4100.5025125628135
Abbigere,1020.0,2.0,2.0,40.8,3999.9999999999995
Akshaya Nagar,1388.0,2.0,2.0,57.0,4106.628242074928
Akshaya Nagar,1070.0,2.0,2.0,54.0,5046.728971962617
Akshaya Nagar,1280.0,2.0,2.0,58.0,4531.25
Akshaya Nagar,1662.0,3.0,3.0,85.1,5120.336943441636
Akshaya Nagar,1897.0,3.0,3.0,120.0,6325.77754348972
Akshaya Nagar,1410.0,3.0,2.0,75.0,5319.148936170212
Akshaya Nagar,1360.0,3.0,2.0,85.0,6250.0
Akshaya Nagar,1600.0,3.0,2.0,65.0,4062.5
Akshaya Nagar,1410.0,3.0,2.0,80.0,5673.758865248227
Akshaya Nagar,1662.0,3.0,3.0,85.0,5114.320096269555
Akshaya Nagar,1662.0,3.0,3.0,85.5,5144.404332129964
Akshaya Nagar,1280.0,2.0,2.0,60.0,4687.5
Akshaya Nagar,1666.0,3.0,3.0,95.0,5702.280912364946
Akshaya Nagar,1575.0,3.0,3.0,90.0,5714.285714285715
Akshaya Nagar,1430.0,3.0,2.0,75.0,5244.755244755244
Akshaya Nagar,1419.0,3.0,2.0,73.0,5144.46793516561
Akshaya Nagar,1280.0,2.0,2.0,60.0,4687.5
Akshaya Nagar,1200.0,2.0,2.0,50.0,4166.666666666667
Akshaya Nagar,1092.0,2.0,2.0,60.0,5494.505494505494
Akshaya Nagar,1690.0,3.0,3.0,85.0,5029.585798816568
Akshaya Nagar,1700.0,3.0,3.0,80.0,4705.882352941177
Akshaya Nagar,1897.0,3.0,4.0,93.0,4902.477596204533
Akshaya Nagar,1884.0,3.0,3.0,98.0,5201.698513800425
Akshaya Nagar,1314.0,2.0,2.0,68.8,5235.920852359209
Akshaya Nagar,1690.0,3.0,3.0,85.0,5029.585798816568
Akshaya Nagar,1265.0,2.0,2.0,67.0,5296.442687747036
Akshaya Nagar,1126.0,2.0,2.0,55.0,4884.547069271758
Akshaya Nagar,2300.0,3.0,4.0,102.0,4434.782608695652
Akshaya Nagar,1662.0,3.0,3.0,90.0,5415.162454873646
Akshaya Nagar,1420.0,3.0,2.0,75.0,5281.69014084507
Akshaya Nagar,1412.0,3.0,2.0,88.0,6232.294617563739
Akshaya Nagar,1434.0,3.0,3.0,84.0,5857.740585774059
Akshaya Nagar,1890.0,3.0,4.0,100.0,5291.005291005291
Akshaya Nagar,2650.0,3.0,3.0,125.0,4716.981132075472
Akshaya Nagar,1419.0,3.0,2.0,87.0,6131.0782241014795
Akshaya Nagar,1300.0,2.0,2.0,54.0,4153.846153846154
Akshaya Nagar,1690.0,3.0,3.0,85.0,5029.585798816568
Akshaya Nagar,1113.0,2.0,2.0,52.0,4672.057502246182
Akshaya Nagar,1820.0,3.0,4.0,95.0,5219.780219780219
Akshaya Nagar,1100.0,2.0,2.0,48.0,4363.636363636364
Akshaya Nagar,1896.0,3.0,3.0,102.0,5379.7468354430375
Akshaya Nagar,1300.0,2.0,2.0,66.0,5076.923076923077
Akshaya Nagar,1225.0,2.0,2.0,68.0,5551.0204081632655
Akshaya Nagar,1179.0,2.0,2.0,51.0,4325.699745547074
Akshaya Nagar,1421.0,3.0,2.0,73.0,5137.227304714989
Akshaya Nagar,1893.0,3.0,4.0,95.0,5018.489170628632
Akshaya Nagar,900.0,2.0,2.0,45.0,5000.0
Ambalipura,1105.0,2.0,2.0,75.0,6787.330316742082
Ambalipura,1800.0,3.0,3.0,110.0,6111.111111111111
Ambalipura,1150.0,2.0,2.0,80.0,6956.521739130435
Ambalipura,1250.0,2.0,2.0,66.25,5300.0
Ambalipura,1332.0,2.0,2.0,79.0,5930.930930930931
Ambalipura,1730.0,3.0,3.0,120.0,6936.416184971098
Ambalipura,3500.0,3.0,3.0,198.0,5657.142857142857
Ambalipura,1230.0,2.0,2.0,66.25,5386.178861788618
Ambalipura,1351.0,2.0,2.0,77.0,5699.481865284974
Ambalipura,2550.0,4.0,4.0,149.0,5843.137254901961
Ambalipura,1817.0,3.0,3.0,102.0,5613.648871766648
Ambalipura,2750.0,4.0,4.0,142.0,5163.636363636364
Ambalipura,1303.0,2.0,2.0,80.0,6139.677666922486
Ambalipura,1607.0,3.0,2.0,112.0,6969.508400746733
Ambalipura,770.0,1.0,1.0,43.82,5690.909090909091
Ambalipura,1700.0,2.0,2.0,76.0,4470.588235294118
Ambalipura,1060.0,2.0,2.0,58.5,5518.867924528302
Ambalipura,1650.0,3.0,3.0,100.0,6060.606060606061
Ambalipura,1607.0,3.0,2.0,112.0,6969.508400746733
Ambalipura,1198.0,2.0,2.0,80.0,6677.79632721202
Ambedkar Nagar,1935.0,3.0,4.0,130.0,6718.3462532299745
Ambedkar Nagar,1424.0,2.0,2.0,90.0,6320.224719101124
Ambedkar Nagar,2225.0,3.0,4.0,169.0,7595.505617977528
Ambedkar Nagar,1862.0,3.0,3.0,120.0,6444.68313641246
Ambedkar Nagar,1850.0,3.0,4.0,139.0,7513.513513513513
Ambedkar Nagar,1936.0,3.0,4.0,126.0,6508.264462809917
Ambedkar Nagar,1862.0,3.0,3.0,119.0,6390.977443609023
Ambedkar Nagar,1424.0,2.0,2.0,90.0,6320.224719101124
Ambedkar Nagar,2150.0,3.0,4.0,125.0,5813.953488372093
Ambedkar Nagar,3530.0,4.0,4.0,290.0,8215.297450424929
Ambedkar Nagar,1856.0,3.0,3.0,120.0,6465.517241379311
