,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,SALES_PRICE
59,Adyar,916.0,1.0,1.0,58.48
60,Chrompet,934.0,1.0,1.0,97.11
61,Karapakkam,1691.0,2.0,2.0,93.99
62,Karapakkam,1236.0,1.0,1.0,88.06
63,T Nagar,1577.0,1.0,1.0,120.87
64,Anna Nagar,1915.0,2.0,1.0,141.76
65,Anna Nagar,1600.0,1.0,1.0,119.21
66,Velachery,1579.0,2.0,1.0,133.65
67,Adyar,1260.0,2.0,2.0,69.23
68,Adyar,1021.0,1.0,1.0,116.73
69,KK Nagar,2174.0,3.0,2.0,130.7
70,Anna Nagar,1589.0,1.0,1.0,122.12
71,Adyar,668.0,1.0,1.0,102.84
72,Velachery,1724.0,2.0,1.0,89.56
73,Adyar,890.0,1.0,1.0,71.87
74,Adyar,1218.0,2.0,2.0,125.75
75,Anna Nagar,1792.0,1.0,1.0,139.06
76,Karapakkam,1378.0,2.0,2.0,99.18
77,Karapakkam,898.0,1.0,1.0,86.3
78,Anna Nagar,1928.0,2.0,1.0,116.67
79,Chrompet,1233.0,2.0,1.0,98.17
80,Velachery,1618.0,2.0,1.0,92.63
81,Karapakkam,627.0,1.0,1.0,65.88
82,Velachery,1563.0,2.0,1.0,97.99
83,Karapakkam,1693.0,2.0,2.0,128.01
84,T Nagar,1522.0,1.0,1.0,174.55
85,Adyar,1090.0,1.0,1.0,98.32
86,Chrompet,1085.0,1.0,1.0,143.64
87,T Nagar,1687.0,1.0,1.0,124.77
88,Adyar,692.0,1.0,1.0,103.81
89,T Nagar,1518.0,1.0,1.0,176.0
90,Adyar,1025.0,1.0,1.0,109.35
91,KK Nagar,2170.0,3.0,2.0,123.72
92,Chrompet,969.0,1.0,1.0,112.49
93,KK Nagar,1546.0,2.0,1.0,142.41
94,KK Nagar,1709.0,2.0,1.0,101.61
95,T Nagar,1659.0,1.0,1.0,135.39
96,Chrompet,755.0,1.0,1.0,107.28
97,Adyar,1182.0,1.0,1.0,98.67
98,Adyar,735.0,1.0,1.0,94.79
99,Chrompet,1089.0,1.0,1.0,90.5
100,Velachery,1534.0,2.0,1.0,79.04
101,Anna Nagar,1622.0,1.0,1.0,130.63
102,KK Nagar,2198.0,3.0,2.0,135.85
103,Chrompet,1293.0,2.0,1.0,131.16
104,KK Nagar,1641.0,2.0,1.0,100.13
105,Velachery,1950.0,3.0,2.0,121.06
106,Karapakkam,1245.0,1.0,1.0,49.18
107,Chrompet,905.0,1.0,1.0,77.03
108,KK Nagar,1496.0,2.0,1.0,85.69
109,Velachery,1892.0,3.0,2.0,121.47
110,Velachery,1517.0,2.0,1.0,116.72
111,Adyar,1034.0,1.0,1.0,92.57
112,Velachery,1755.0,2.0,1.0,149.16
113,Anna Nagar,1622.0,1.0,1.0,135.48
114,Chrompet,1092.0,1.0,1.0,82.13
115,Chrompet,821.0,1.0,1.0,73.04
116,KK Nagar,1694.0,2.0,1.0,103.91
117,Anna Nagar,1809.0,2.0,1.0,192.07
118,Karapakkam,1401.0,2.0,2.0,99.65
119,Karapakkam,1470.0,2.0,2.0,72.07
120,Chrompet,798.0,1.0,1.0,90.71
121,Chrompet,764.0,1.0,1.0,56.7
122,Chrompet,1135.0,1.0,1.0,92.53
123,Karapakkam,939.0,1.0,1.0,42.94
124,Karapakkam,1586.0,2.0,2.0,143.16
125,T Nagar,1973.0,2.0,1.0,233.07
126,Chrompet,1023.0,1.0,1.0,97.35
127,Chrompet,884.0,1.0,1.0,113.36
128,Anna Nagar,1640.0,1.0,1.0,177.02
129,Adyar,622.0,1.0,1.0,65.73
130,Anna Nagar,1880.0,2.0,1.0,134.23
131,KK Nagar,2413.0,4.0,2.0,131.22
132,T Nagar,1649.0,1.0,1.0,189.39
133,Velachery,1729.0,2.0,1.0,128.04
134,T Nagar,1942.0,2.0,1.0,123.31
135,Chrompet,711.0,1.0,1.0,80.5
136,Chrompet,885.0,1.0,1.0,71.95
137,KK Nagar,1688.0,2.0,1.0,114.13
138,Adyar,1236.0,2.0,2.0,120.35
139,Karapakkam,926.0,1.0,1.0,68.77
140,KK Nagar,1686.0,2.0,1.0,103.46
141,Karapakkam,1344.0,2.0,2.0,108.1
142,KK Nagar,1437.0,2.0,1.0,102.01
143,Karapakkam,1430.0,2.0,2.0,66.36
144,Adyar,1081.0,1.0,1.0,61.9
145,Karapakkam,1352.0,2.0,2.0,65.07
146,KK Nagar,1986.0,3.0,2.0,113.5
147,Anna Nagar,1758.0,1.0,1.0,192.86
148,Karapakkam,607.0,1.0,1.0,58.57
149,KK Nagar,2139.0,3.0,2.0,124.72
150,KK Nagar,1488.0,2.0,1.0,84.42
151,Velachery,1645.0,2.0,1.0,75.79
152,Chrompet,950.0,1.0,1.0,97.59
153,Chrompet,928.0,1.0,1.0,124.24
154,Velachery,1693.0,2.0,1.0,154.96
155,Velachery,1873.0,3.0,2.0,110.22
156,Adyar,721.0,1.0,1.0,76.06
157,Karapakkam,1190.0,1.0,1.0,79.68
158,KK Nagar,1593.0,2.0,1.0,89.47
159,Chrompet,786.0,1.0,1.0,92.45
160,Chrompet,1195.0,1.0,1.0,98.22
161,Velachery,1824.0,3.0,2.0,85.49
162,KK Nagar,1906.0,3.0,2.0,158.53
163,Adyar,656.0,1.0,1.0,87.58
164,Chrompet,727.0,1.0,1.0,84.16
165,Adyar,931.0,1.0,1.0,99.36
166,Velachery,1898.0,3.0,2.0,166.18
167,Anna Nagar,1698.0,1.0,1.0,124.12
168,T Nagar,1926.0,2.0,1.0,226.31
169,Karapakkam,1481.0,2.0,2.0,99.02
170,Anna Nagar,1506.0,1.0,1.0,104.5
171,Chrompet,1020.0,1.0,1.0,79.49
172,Chrompet,889.0,1.0,1.0,90.99
173,Chrompet,1015.0,1.0,1.0,83.43
174,T Nagar,1682.0,1.0,1.0,186.62
175,Chrompt,869.0,1.0,1.0,81.73
176,Karapakkam,1445.0,2.0,2.0,58.56
177,Anna Nagar,1919.0,2.0,1.0,147.04
178,Adyar,1243.0,2.0,2.0,133.6
179,Karapakkam,857.0,1.0,1.0,49.28
180,Karapakkam,1055.0,1.0,1.0,73.15
181,KK Nagar,1778.0,3.0,2.0,109.98
182,Karapakkam,851.0,1.0,1.0,39.36
183,Chrompet,1021.0,1.0,1.0,92.02
184,KK Nagar,2203.0,3.0,2.0,178.91
185,Karapakkam,613.0,1.0,1.0,51.44
186,Adyar,738.0,1.0,1.0,83.13
187,Karapakkam,1489.0,2.0,2.0,80.07
188,Karapakkam,795.0,1.0,1.0,84.79
189,Velachery,1909.0,3.0,2.0,101.29
190,Chrompet,1252.0,2.0,1.0,94.82
191,Karapakkam,1077.0,1.0,1.0,98.47
192,KK Nagar,1524.0,2.0,1.0,86.76
193,Chrompet,1049.0,1.0,1.0,102.62
194,Velachery,1780.0,2.0,1.0,86.71
195,Chrompet,946.0,1.0,1.0,111.66
196,Chrompet,906.0,1.0,1.0,94.65
197,KK Nagar,2344.0,4.0,2.0,188.5
198,Adyar,929.0,1.0,1.0,94.8
199,Anna Nagar,1843.0,2.0,1.0,122.65
200,Anna Nagar,1918.0,2.0,1.0,218.75
201,KK Nagar,1507.0,2.0,1.0,135.39
202,KK Nagar,1499.0,2.0,1.0,88.76
203,KK Nagar,1526.0,2.0,1.0,136.45
204,Anna Nagar,1855.0,2.0,1.0,209.96
205,Karapakkam,1627.0,2.0,2.0,90.71
206,Velachery,1846.0,3.0,2.0,108.16
207,KK Nagar,2019.0,3.0,2.0,128.02
208,Karapakkam,1578.0,2.0,2.0,95.32
209,Velachery,1780.0,2.0,1.0,133.47
210,Karapakkam,662.0,1.0,1.0,43.56
211,Chrompet,1005.0,1.0,1.0,122.57
212,Karapakkam,839.0,1.0,1.0,41.0
213,Anna Nagar,1698.0,1.0,1.0,115.27
214,Adyar,878.0,1.0,1.0,64.53
215,Chrompet,835.0,1.0,1.0,84.35
216,Chrompet,911.0,1.0,1.0,74.28
217,Velachery,1796.0,2.0,1.0,91.05
218,Karapakkam,1004.0,1.0,1.0,47.22
219,Anna Nagar,1694.0,1.0,1.0,125.75
220,Karapakkam,1244.0,1.0,1.0,79.53
221,Karapakkam,588.0,1.0,1.0,57.06
222,KK Nagar,2342.0,4.0,2.0,128.99
223,Velachery,1835.0,3.0,2.0,107.23
224,Anna Nagar,1977.0,2.0,1.0,141.03
225,KK Nagar,1961.0,3.0,2.0,176.13
226,Velachery,1517.0,2.0,1.0,71.47
227,KK Nagar,2409.0,4.0,2.0,134.76
228,Velachery,1864.0,3.0,2.0,151.01
229,Velachery,1643.0,2.0,1.0,155.99
230,Adyar,1015.0,1.0,1.0,112.25
231,Anna Nagar,1700.0,1.0,1.0,124.77
232,Karapakkam,624.0,1.0,1.0,43.96
233,Chrompet,980.0,1.0,1.0,119.01
234,Karapakkam,1003.0,1.0,1.0,100.9
235,Adyar,1072.0,1.0,1.0,66.08
236,Karapakkam,808.0,1.0,1.0,47.52
237,Chrompet,1027.0,1.0,1.0,74.41
238,Karapakkam,696.0,1.0,1.0,64.41
239,Velachery,1716.0,2.0,1.0,103.6
240,Velachery,1878.0,3.0,2.0,143.29
241,KK Nagar,1699.0,2.0,1.0,114.44
242,KK Nagar,1626.0,2.0,1.0,96.8
243,KK Nagar,1730.0,2.0,1.0,147.39
244,Chrompet,996.0,1.0,1.0,89.4
245,Chrmpet,1277.0,2.0,1.0,157.1
246,Chrompet,906.0,1.0,1.0,102.27
247,Anna Nagar,1976.0,2.0,1.0,123.0
248,Velachery,1776.0,2.0,1.0,99.89
249,Karapakkam,1402.0,2.0,2.0,69.67
250,Chrompet,1160.0,1.0,1.0,94.64
251,Velachery,1957.0,3.0,2.0,151.99
252,T Nagar,1887.0,2.0,1.0,204.99
253,Velachery,1859.0,3.0,2.0,99.25
254,Chrompet,747.0,1.0,1.0,112.24
255,Adyar,985.0,1.0,1.0,73.8
256,Chrompet,1024.0,1.0,1.0,120.91
257,Velachery,1600.0,2.0,1.0,105.3
258,Chrompet,1276.0,2.0,1.0,96.04
259,Chrompet,1159.0,1.0,1.0,90.63
260,Karapakkam,1024.0,1.0,1.0,47.48
261,Adyar,1249.0,2.0,2.0,126.42
262,Chrompet,839.0,1.0,1.0,91.07
263,Chrompet,1286.0,2.0,1.0,91.53
264,KK Nagar,2467.0,4.0,2.0,126.51
265,Karapakkam,653.0,1.0,1.0,76.35
266,Karapakkam,606.0,1.0,1.0,78.54
267,T Nagar,1837.0,2.0,1.0,131.97
268,Velachery,1880.0,3.0,2.0,136.7
269,KK Nagar,2189.0,3.0,2.0,182.5
270,Velachery,1853.0,3.0,2.0,147.07
271,Chrompet,1057.0,1.0,1.0,91.45
272,Adyar,723.0,1.0,1.0,109.7
273,T Nagar,1812.0,2.0,1.0,122.49
274,T Nagar,1788.0,1.0,1.0,142.25
275,Velachery,1615.0,2.0,1.0,80.19
276,Anna Nagar,1755.0,1.0,1.0,114.1
277,Adyar,1296.0,2.0,2.0,99.51
278,KK Nagar,1554.0,2.0,1.0,99.8
279,Anna Nagar,1737.0,1.0,1.0,142.93
280,Karapakkam,785.0,1.0,1.0,57.53
281,Karapakkam,1678.0,2.0,2.0,118.83
282,KK Nagar,2360.0,4.0,2.0,198.16
283,KK Nagar,1464.0,2.0,1.0,93.95
284,KK Nagar,1632.0,2.0,1.0,105.06
285,Velachery,1755.0,2.0,1.0,87.63
286,Velachery,1556.0,2.0,1.0,93.48
287,Adyar,1170.0,1.0,1.0,91.35
288,Adyar,901.0,1.0,1.0,76.43
289,Karapakkam,1160.0,1.0,1.0,88.86
290,Karapakkam,1570.0,2.0,2.0,64.07
291,Karapakkam,1476.0,2.0,2.0,115.36
292,Karapakkam,586.0,1.0,1.0,53.33
293,Karapakkam,1059.0,1.0,1.0,78.49
294,T Nagar,1712.0,1.0,1.0,137.98
295,Adyar,847.0,1.0,1.0,74.92
296,Karapakkam,1192.0,1.0,1.0,53.42
297,Velachery,1942.0,3.0,2.0,162.13
298,Karapakkam,557.0,1.0,1.0,47.1
299,Velachery,1728.0,2.0,1.0,148.98
300,Velachery,1798.0,2.0,1.0,170.6
301,Karapakkam,1497.0,2.0,2.0,69.32
302,Chrompet,1173.0,1.0,1.0,81.96
303,Anna Nagar,1640.0,1.0,1.0,177.05
304,KK Nagar,1747.0,2.0,1.0,107.85
305,Karapakkam,1342.0,2.0,2.0,95.94
306,T Nagar,2000.0,2.0,1.0,135.97
307,Velachery,1987.0,3.0,2.0,111.56
308,Karapakkam,1567.0,2.0,2.0,77.26
309,Karapakkam,1188.0,1.0,1.0,98.2
310,Adyar,737.0,1.0,1.0,38.69
311,Karapakkam,785.0,1.0,1.0,58.53
312,KK Nagar,2078.0,3.0,2.0,96.97
313,Adyar,647.0,1.0,1.0,95.75
314,Karapakkam,1171.0,1.0,1.0,61.03
315,KK Nagar,2435.0,4.0,2.0,202.46
316,Velachery,1805.0,3.0,2.0,169.3
317,Karapakkam,1145.0,1.0,1.0,55.1
318,Karapakkam,971.0,1.0,1.0,65.31
319,Karapakkam,1657.0,2.0,2.0,101.47
320,Velachery,1638.0,2.0,1.0,97.06
321,Adyar,1284.0,2.0,2.0,161.07
322,Adyar,1273.0,2.0,2.0,74.52
323,Chrompet,1185.0,1.0,1.0,101.63
324,T Nagar,1538.0,1.0,1.0,193.77
325,KK Nagar,1929.0,3.0,2.0,101.74
326,KK Nagar,1656.0,2.0,1.0,109.1
327,Adyar,1287.0,2.0,2.0,150.14
328,T Nagar,1749.0,1.0,1.0,117.13
329,Anna Nagar,1585.0,1.0,1.0,173.83
330,T Nagar,1962.0,2.0,1.0,158.63
331,KK Nagar,1425.0,2.0,1.0,86.77
332,Karapakkam,884.0,1.0,1.0,82.82
333,Chrompet,1052.0,1.0,1.0,79.27
334,T Nagar,1756.0,1.0,1.0,120.94
335,Karapakkam,523.0,1.0,1.0,73.9
336,Velachery,1524.0,2.0,1.0,110.53
337,T Nagar,1949.0,2.0,1.0,144.65
338,Chrompet,1263.0,2.0,1.0,106.37
339,KK Nagar,1917.0,3.0,2.0,110.46
340,KK Nagar,1401.0,2.0,1.0,74.1
341,Chrompet,723.0,1.0,1.0,86.46
342,T Nagar,1660.0,1.0,1.0,177.88
343,Chrompet,895.0,1.0,1.0,85.15
344,Anna Nagar,1889.0,2.0,1.0,138.41
345,Chrompet,1199.0,1.0,1.0,91.61
346,Karapakkam,782.0,1.0,1.0,77.94
347,Anna Nagar,1571.0,1.0,1.0,129.47
348,KK Nagar,1848.0,3.0,2.0,158.83
349,Chrompet,1131.0,1.0,1.0,100.9
350,Karapakkam,1062.0,1.0,1.0,53.36
351,KK Nagar,1983.0,3.0,2.0,121.27
352,Velachery,1572.0,2.0,1.0,81.65
353,Anna Nagar,1535.0,1.0,1.0,114.85
354,T Nagar,1818.0,2.0,1.0,220.25
355,KK Nagar,1484.0,2.0,1.0,97.71
356,KK Nagar,2189.0,3.0,2.0,120.72
357,Chrompet,1203.0,2.0,1.0,129.26
358,KK Nagar,1610.0,2.0,1.0,153.87
359,Adyar,863.0,1.0,1.0,66.37
360,Karapakkam,985.0,1.0,1.0,74.47
361,Karapakkam,1623.0,2.0,2.0,116.58
362,Adyar,1019.0,1.0,1.0,66.63
363,Karapakkam,1575.0,2.0,2.0,98.94
364,Chrompet,802.0,1.0,1.0,79.68
365,T Nagar,1846.0,2.0,1.0,124.04
366,Chrompet,759.0,1.0,1.0,81.49
367,KK Nagar,2060.0,3.0,2.0,160.13
368,KK Nagar,1503.0,2.0,1.0,111.21
369,Velachery,1853.0,3.0,2.0,94.62
370,T Nagar,1739.0,1.0,1.0,204.78
371,Karapakkam,766.0,1.0,1.0,87.56
372,Chrompet,857.0,1.0,1.0,84.72
373,T Nagar,1887.0,2.0,1.0,130.24
374,Karapakkam,1502.0,2.0,2.0,82.15
375,Velachery,1568.0,2.0,1.0,63.62
376,Chrompet,918.0,1.0,1.0,109.29
377,Adyar,1289.0,2.0,2.0,146.34
378,KK Nagar,1941.0,3.0,2.0,122.28
379,Velachery,1730.0,2.0,1.0,104.94
380,Velachery,1513.0,2.0,1.0,123.51
381,Velachery,1762.0,2.0,1.0,90.71
382,Anna Nagar,1970.0,2.0,1.0,124.51
383,Velachery,1702.0,2.0,1.0,122.26
384,Velachery,1726.0,2.0,1.0,68.05
385,Chrompet,1243.0,2.0,1.0,154.95
386,Velachery,1550.0,2.0,1.0,124.57
387,KK Nagar,1830.0,3.0,2.0,163.12
388,Karapakkam,1435.0,2.0,2.0,97.53
389,Velachery,1729.0,2.0,1.0,106.3
390,T Nagar,1572.0,1.0,1.0,207.16
391,Chrompet,1145.0,1.0,1.0,142.97
392,Chrompet,1043.0,1.0,1.0,83.17
393,Karapakkam,1332.0,1.0,1.0,82.62
394,Karapakkam,608.0,1.0,1.0,62.06
395,Adyar,676.0,1.0,1.0,84.0
396,Velachery,1685.0,2.0,1.0,111.04
397,Adyar,658.0,1.0,1.0,60.84
398,Chrompet,1008.0,1.0,1.0,88.36
399,Anna Nagar,1924.0,2.0,1.0,136.2
400,KK Nagar,2112.0,3.0,2.0,167.56
401,Chrompet,917.0,1.0,1.0,118.9
402,Karapakkam,1353.0,2.0,2.0,85.74
403,Anna Nagar,1694.0,1.0,1.0,140.55
404,Anna Nagar,1625.0,1.0,1.0,183.16
405,Anna Nagar,1882.0,2.0,1.0,147.62
406,T Nagar,1924.0,2.0,1.0,221.23
407,Chrompet,894.0,1.0,1.0,108.82
408,Karapakkam,904.0,1.0,1.0,68.63
409,Adyar,1279.0,2.0,2.0,97.93
410,Velachery,1547.0,2.0,1.0,100.91
411,Karapakkam,626.0,1.0,1.0,50.73
412,T Nagar,1673.0,1.0,1.0,121.56
413,Chrompet,1296.0,2.0,1.0,107.41
414,KK Nagar,2194.0,3.0,2.0,168.06
415,KK Nagar,1678.0,2.0,1.0,135.86
416,Chrompet,702.0,1.0,1.0,80.21
417,Adyar,1067.0,1.0,1.0,79.6
418,Chrompet,980.0,1.0,1.0,118.47
419,KK Nagar,1989.0,3.0,2.0,119.86
420,Chrompet,1257.0,2.0,1.0,137.88
421,Chrompet,1069.0,1.0,1.0,100.8
422,Karapakkam,606.0,1.0,1.0,65.65
423,Karapakkam,1449.0,2.0,2.0,88.62
424,Karapakkam,1154.0,1.0,1.0,78.8
425,Adyar,927.0,1.0,1.0,126.83
426,Karapakkam,1613.0,2.0,2.0,101.7
427,Velachery,1851.0,3.0,2.0,119.59
428,Velachery,1511.0,2.0,1.0,103.92
429,KK Nagar,1765.0,2.0,1.0,93.39
430,Karapakkam,1238.0,1.0,1.0,113.3
431,Chrompet,934.0,1.0,1.0,84.69
432,Chrompet,754.0,1.0,1.0,77.06
433,T Nagar,1736.0,1.0,1.0,140.57
434,Chrompet,980.0,1.0,1.0,86.22
435,Karapakkam,1299.0,1.0,1.0,93.38
436,Karapakkam,849.0,1.0,1.0,56.69
437,KK Nagar,1450.0,2.0,1.0,100.4
438,T Nagar,1634.0,1.0,1.0,127.3
439,Karapakkam,1320.0,1.0,1.0,110.72
440,Chrompet,769.0,1.0,1.0,72.62
441,Karapakkam,1150.0,1.0,1.0,69.82
442,Chrompet,908.0,1.0,1.0,75.47
443,Karapakkam,1668.0,2.0,2.0,136.5
444,KK Nagar,1990.0,3.0,2.0,106.52
445,Anna Nagar,1857.0,2.0,1.0,133.79
446,KK Nagar,2061.0,3.0,2.0,172.66
447,KK Nagar,1668.0,2.0,1.0,100.45
448,KK Nagar,1444.0,2.0,1.0,91.54
449,Chrompet,1121.0,1.0,1.0,90.9
450,KK Nagar,1514.0,2.0,1.0,90.76
451,Chrompet,1256.0,2.0,1.0,99.58
452,Karapakkam,672.0,1.0,1.0,58.05
453,Adyar,908.0,1.0,1.0,130.87
454,Karapakkam,1631.0,2.0,2.0,93.14
455,Adyar,1001.0,1.0,1.0,105.34
456,Velachery,1618.0,2.0,1.0,114.62
457,KK Nagar,2340.0,4.0,2.0,129.48
458,Karapakkam,1159.0,1.0,1.0,61.5
459,Velachery,1775.0,2.0,1.0,110.32
460,Chrompet,1008.0,1.0,1.0,127.13
461,Velachery,1563.0,2.0,1.0,156.65
462,KK Nagar,1723.0,2.0,1.0,112.66
463,Velachery,1543.0,2.0,1.0,129.01
464,Chrompet,1231.0,2.0,1.0,102.71
465,T Nagar,1995.0,2.0,1.0,141.55
466,KK Nagar,2113.0,3.0,2.0,121.6
467,T Nagar,1849.0,2.0,1.0,220.84
468,Chrompet,1095.0,1.0,1.0,99.53
469,Karapakkam,1057.0,1.0,1.0,87.88
470,Karapakkam,841.0,1.0,1.0,62.66
471,Adyar,693.0,1.0,1.0,68.8
472,Anna Nagar,1666.0,1.0,1.0,119.91
473,T Nagar,1517.0,1.0,1.0,198.18
474,Anna Nagar,1854.0,2.0,1.0,197.66
475,Adyar,789.0,1.0,1.0,80.98
476,Chrompet,760.0,1.0,1.0,82.74
477,Chrompet,1137.0,1.0,1.0,89.13
478,Anna Nagar,1687.0,1.0,1.0,196.1
479,Karapakkam,984.0,1.0,1.0,53.41
480,Karapakkam,1662.0,2.0,2.0,128.26
481,Adyar,1065.0,1.0,1.0,87.17
482,KK Nagar,1621.0,2.0,1.0,99.28
483,Chrompet,703.0,1.0,1.0,82.32
484,Chrompet,1221.0,2.0,1.0,98.33
485,KK Nagar,1577.0,2.0,1.0,132.77
486,Chrompet,989.0,1.0,1.0,106.14
487,KK Nagar,1368.0,2.0,1.0,108.02
488,KK Nagar,2365.0,4.0,2.0,186.38
489,Anna Nagar,1525.0,1.0,1.0,175.67
490,Adyar,1180.0,1.0,1.0,93.98
491,Karapakkam,1122.0,1.0,1.0,68.89
492,Anna Nagar,1775.0,1.0,1.0,195.12
493,Anna Nagar,1877.0,2.0,1.0,130.65
494,Chrompet,760.0,1.0,1.0,83.87
495,KK Nagar,2297.0,4.0,2.0,115.7
496,Karapakkam,787.0,1.0,1.0,78.25
497,KK Nagar,2317.0,4.0,2.0,105.02
498,Karapakkam,749.0,1.0,1.0,52.86
499,Velachery,1616.0,2.0,1.0,97.94
500,Adyar,1284.0,2.0,2.0,98.86
501,Chrompet,756.0,1.0,1.0,104.78
502,Chrompet,1238.0,2.0,1.0,93.46
503,Chrompet,1236.0,2.0,1.0,93.14
504,T Nagar,1664.0,1.0,1.0,132.52
505,Anna Nagar,1537.0,1.0,1.0,183.32
506,Velachery,1731.0,2.0,1.0,134.79
507,Chrompet,929.0,1.0,1.0,89.07
508,Chrompet,786.0,1.0,1.0,81.86
509,Karapakkam,1370.0,2.0,2.0,91.25
510,Karapakkam,1685.0,2.0,2.0,69.23
511,T Nagar,1549.0,1.0,1.0,121.34
512,Anna Nagar,1539.0,1.0,1.0,182.0
513,Anna Nagar,1898.0,2.0,1.0,134.85
514,Chrompet,918.0,1.0,1.0,117.63
515,Chrompet,774.0,1.0,1.0,91.04
516,Chrompet,1072.0,1.0,1.0,119.36
517,Chrompet,1239.0,2.0,1.0,108.81
518,KK Nagar,1362.0,2.0,1.0,121.47
519,T Nagar,1785.0,1.0,1.0,141.29
520,KK Nagar,2181.0,3.0,2.0,118.21
521,KK Nagar,2033.0,3.0,2.0,125.29
522,Adyar,952.0,1.0,1.0,105.52
523,Chrompet,1066.0,1.0,1.0,124.06
524,Chrompet,1153.0,1.0,1.0,143.77
525,Velachery,1849.0,3.0,2.0,94.87
526,Karapakkam,1095.0,1.0,1.0,54.72
527,Adyar,1100.0,1.0,1.0,102.53
528,Adyar,1300.0,2.0,2.0,109.89
529,T Nagar,1806.0,2.0,1.0,118.38
530,Anna Nagar,1897.0,2.0,1.0,126.24
531,Chrompet,1121.0,1.0,1.0,82.88
532,Adyar,985.0,1.0,1.0,119.04
533,Velachery,1782.0,2.0,1.0,102.74
534,Anna Nagar,1582.0,1.0,1.0,173.99
535,Chrompet,1225.0,2.0,1.0,96.8
536,KK Nagar,1727.0,2.0,1.0,118.55
537,Velachery,1712.0,2.0,1.0,158.49
538,Adyar,1089.0,1.0,1.0,85.86
539,Velachery,1532.0,2.0,1.0,114.52
540,KK Nagar,1301.0,1.0,1.0,96.76
541,Adyar,812.0,1.0,1.0,62.86
542,Chrompet,863.0,1.0,1.0,78.14
543,Velachery,1686.0,2.0,1.0,100.95
544,Karapakkam,1332.0,1.0,1.0,112.36
545,Chrompet,969.0,1.0,1.0,135.56
546,Adyar,1300.0,2.0,2.0,90.24
547,Karapakkam,593.0,1.0,1.0,48.63
548,Chrompet,809.0,1.0,1.0,65.11
549,Karapakkam,1105.0,1.0,1.0,75.11
550,Karapakkam,542.0,1.0,1.0,30.14
551,Karapakkam,1608.0,2.0,2.0,92.44
552,KK Nagar,2271.0,4.0,2.0,174.23
553,KK Nagar,1915.0,3.0,2.0,99.17
554,KK Nagar,2152.0,3.0,2.0,168.35
